feature_id,feature_name,category,scientific_motivation,expected_robustness,expected_reproducibility,hardware_sensitivity,dataset_sensitivity,execution_cost,interpretability,leakage_risk,overfitting_risk,expected_usefulness,frozen_in_eps,frozen_dimension,rejection_reason
F001,wall_clock_time_per_test,timing,Wall time reflects algorithmic efficiency and scaling even when outputs match,medium,high,high,low,low,high,none,low,medium,no,,High CPU frequency scaling; absorbed into P4 not standalone
F002,cpu_user_time_per_test,timing,CPU time isolates compute from I/O wait; process signal beyond pass bit,medium,high,high,low,low,high,none,low,medium,no,,Component of P4 dispersion not separate dimension
F003,cpu_system_time_per_test,timing,System time captures syscall overhead,low,medium,medium,medium,low,medium,none,low,low,no,,Noisy in containerized sandbox; folded into P4 optional
F004,memory_peak_rss,memory,Peak resident set indicates space complexity,medium,high,medium,low,low,high,none,low,medium,no,,Included in P4 CV vector
F005,memory_peak_vms,memory,Virtual memory peak may capture allocation patterns,low,medium,low,low,low,medium,none,medium,low,no,,Less portable than RSS; rejected for v1
F006,memory_growth_slope,memory,Linear memory growth across input size may signal leaks,medium,medium,medium,medium,medium,medium,none,medium,medium,no,,Requires ordered inputs by size; not guaranteed by test order
F007,allocation_count_estimate,memory,Allocation pressure correlates with hidden inefficiency,low,low,high,medium,high,medium,none,medium,low,no,,Requires tracemalloc or allocator hooks; fragile across Py versions
F008,function_call_count,control_flow,Call volume distinguishes iterative vs recursive implementations,medium,medium,low,medium,medium,high,none,low,medium,no,,Redundant with opcode CALL category in P7
F009,maximum_call_depth,control_flow,Recursion depth affects stack risk and hidden test failure,medium,high,low,low,medium,high,none,low,medium,no,,Captured partially by P3 trace divergence; standalone rejected
F010,recursion_depth_peak,control_flow,Deep recursion may fail on hidden large inputs,medium,medium,low,medium,medium,high,none,low,medium,no,,Problem-specific thresholds; risk of overfitting without labels
F011,branch_opcode_fraction,bytecode,Branch share indicates control-flow intensity,medium,high,medium,low,medium,medium,none,low,medium,no,,Subsumed by P7 PMF BRANCH/JUMP categories
F012,opcode_histogram_unigram,bytecode,Instruction mix characterizes algorithm family (Rajput SCTD/DCTD lineage),high,high,medium,low,medium,medium,none,low,high,yes,P7,Primary frozen opcode representation via 32 categories
F013,opcode_entropy,bytecode,Entropy of opcode distribution summarizes execution diversity,medium,high,medium,low,low,medium,none,low,medium,no,,Derived from P7; redundant as separate scalar
F014,opcode_bigram_histogram,bytecode,Sequential opcode patterns capture control structure,medium,medium,medium,low,high,low,none,high,medium,no,,High dimensionality; overfitting risk; trace-free ablation target
F015,stdlib_module_touch_count,imports,Heavy stdlib use may indicate library-dependent shortcuts,low,medium,medium,high,medium,medium,none,medium,low,no,,Static import scan not execution-only; rejected
F016,import_graph_static,imports,Module dependency structure,low,low,high,high,low,medium,none,high,low,no,,Static only; violates execution-only rule
