generator_model,task_id,dimension,value,rep,stripped_path,original_path,original_changed,remaining_concurrency_identifiers,remaining_security_identifiers,remaining_strip_concurrency_tokens,remaining_strip_security_tokens,sync_pattern_count,validation_pattern_count,exception_pattern_count,docstring_leakage_hits,comment_leakage_hits,structural_fingerprint_score,engineer_guessable,guess_rationale
anthropic,dependency_order,concurrency,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_1.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_2.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_3.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_4.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_5.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_1.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_2.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_3.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_4.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_5.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,security,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_1.py,True,0,0,0,0,0,3,1,1,1,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_2.py,True,0,0,0,0,0,3,1,1,2,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_3.py,True,0,0,0,0,0,3,1,1,2,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_4.py,True,0,0,0,0,0,3,1,1,1,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_5.py,True,0,0,0,0,0,3,1,1,2,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_1.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_2.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_3.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_4.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_5.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,lru_cache,concurrency,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_1.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_2.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_3.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_4.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_5.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_1.py,True,0,0,4,0,9,3,1,1,0,9,yes,"4 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,lru_cache,concurrency,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_2.py,True,0,0,4,0,9,3,1,1,0,9,yes,"4 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
